Unnamed: 0.1,Unnamed: 0,id,neo_reference_id,name,name_limited,designation,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,kilometers_estimated_diameter_min,kilometers_estimated_diameter_max,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,Median Size,start_date,end_date,duration,After Atlas
19,19,2003199,2003199,3199 Nefertiti (1982 RA),Nefertiti,3199,14.84,False,False,2.8612445378,6.3979372868,351,AMO,1.127028174737144,2.021991459514207,1982-09-13,2021-06-14,Near-Earth asteroid orbits similar to that of 1221 Amor,1.7683463745,1982-09-13,2021-06-14,14154 days,False
20,20,2003200,2003200,3200 Phaethon (1983 TB),Phaethon,3200,14.4,True,False,3.5039264111,7.8350176433,777,APO,0.1401455526891915,2.402657594487749,1983-10-27,2021-10-22,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2.1655456160999997,1983-10-27,2021-10-22,13875 days,False
21,21,2003271,2003271,3271 Ul (1982 RB),Ul,3271,16.56,False,False,1.2958507267,2.8976103136,66,AMO,1.269036306849384,2.933170646927881,1982-09-14,2021-04-06,Near-Earth asteroid orbits similar to that of 1221 Amor,0.80087979345,1982-09-14,2021-04-06,14084 days,False
22,22,2003288,2003288,3288 Seleucus (1982 DV),Seleucus,3288,15.35,False,False,2.2623249055,5.058712276,426,AMO,1.10512034407502,2.960116759131981,1982-02-28,2022-04-09,Near-Earth asteroid orbits similar to that of 1221 Amor,1.3981936852499999,1982-02-28,2022-04-09,14650 days,False
23,23,2003352,2003352,3352 McAuliffe (1981 CW),McAuliffe,3352,15.94,False,False,1.7240703244,3.8551384433,381,AMO,1.185634128750656,2.57216906888313,1981-02-06,2022-04-10,Near-Earth asteroid orbits similar to that of 1221 Amor,1.06553405945,1981-02-06,2022-04-10,15038 days,False
24,24,2003360,2003360,3360 Syrinx (1981 VA),Syrinx,3360,15.94,False,False,1.7240703244,3.8551384433,132,APO,0.6266339382912828,4.306202084401575,1981-11-04,2021-01-11,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.06553405945,1981-11-04,2021-01-11,14313 days,False
25,25,2003361,2003361,3361 Orpheus (1982 HR),Orpheus,3361,19.39,True,False,0.3520099801,0.7871182442,179,APO,0.8193931096522026,1.601798825605424,1982-04-24,2022-02-10,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.21755413205,1982-04-24,2022-02-10,14537 days,False
26,26,2003362,2003362,3362 Khufu (1984 QA),Khufu,3362,18.3,True,False,0.5815070396,1.30028927,24,ATE,0.5259517281609527,1.453146904335157,1984-08-30,2004-11-27,Near-Earth asteroid orbits similar to that of 2062 Aten,0.35939111519999994,1984-08-30,2004-11-27,7394 days,False
27,27,2003551,2003551,3551 Verenia (1983 RD),Verenia,3551,16.71,False,False,1.2093582639,2.7042072872,109,AMO,1.072996336361807,3.112181622378441,1983-09-07,2022-04-06,Near-Earth asteroid orbits similar to that of 1221 Amor,0.74742451165,1983-09-07,2022-04-06,14091 days,False
28,28,2003552,2003552,3552 Don Quixote (1983 SA),Don Quixote,3552,13.07,False,False,6.4647982561,14.4557283615,269,AMO,1.242293393089268,7.284240430131785,1983-09-10,2022-02-20,Near-Earth asteroid orbits similar to that of 1221 Amor,3.9954650527,1983-09-10,2022-02-20,14043 days,False
29,29,2003553,2003553,3553 Mera (1985 JA),Mera,3553,16.39,False,False,1.4013769717,3.1335741707,172,AMO,1.118366276489382,2.171053050249352,1985-05-11,2021-09-09,Near-Earth asteroid orbits similar to that of 1221 Amor,0.8660985995000001,1985-05-11,2021-09-09,13270 days,False
30,30,2003554,2003554,3554 Amun (1986 EB),Amun,3554,15.82,False,False,1.8220277059,4.0741778073,262,ATE,0.7006250410770806,1.247329559092403,1986-03-04,2018-12-20,Near-Earth asteroid orbits similar to that of 2062 Aten,1.1260750507,1986-03-04,2018-12-20,11979 days,False
31,31,2003671,2003671,3671 Dionysus (1984 KD),Dionysus,3671,16.49,True,False,1.3383046182,2.9925401008,131,APO,1.008697068853533,3.389362813624114,1984-05-27,2022-01-06,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.8271177412999999,1984-05-27,2022-01-06,13738 days,False
32,32,2003691,2003691,3691 Bede (1982 FT),Bede,3691,14.81,False,False,2.9010484143,6.4869414603,635,AMO,1.270208919702859,2.278614480455149,1975-06-09,2022-04-15,Near-Earth asteroid orbits similar to that of 1221 Amor,1.792946523,1975-06-09,2022-04-15,17112 days,False
33,33,2003752,2003752,3752 Camillo (1985 PA),Camillo,3752,15.23,False,False,2.3908645717,5.3461357073,318,APO,0.987104461058964,1.839772966665539,1976-01-28,2022-04-02,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.4776355678000002,1976-01-28,2022-04-02,16866 days,False
34,34,2003753,2003753,3753 Cruithne (1986 TO),Cruithne,3753,15.52,False,False,2.091967709,4.6777820041,223,ATE,0.483908503631942,1.511509941845563,1973-10-17,2021-11-08,Near-Earth asteroid orbits similar to that of 2062 Aten,1.29290714755,1973-10-17,2021-11-08,17554 days,False
35,35,2003757,2003757,3757 Anagolay (1982 XB),Anagolay,3757,18.9,True,False,0.4411182,0.9863702813,47,APO,1.016899784597074,2.652708376453868,1982-12-14,2019-09-19,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.27262604065,1982-12-14,2019-09-19,13428 days,False
36,36,2003838,2003838,3838 Epona (1986 WA),Epona,3838,15.73,False,False,1.8991312347,4.246586539,141,APO,0.4478266372134052,2.561940635480328,1986-11-30,2022-02-22,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.17372765215,1986-11-30,2022-02-22,12868 days,False
37,37,2003908,2003908,3908 Nyx (1980 PA),Nyx,3908,17.34,False,False,0.9048049682,2.0232054153,236,AMO,1.042731721330407,2.812990333590479,1980-08-06,2022-04-10,Near-Earth asteroid orbits similar to that of 1221 Amor,0.55920022355,1980-08-06,2022-04-10,15222 days,False
38,38,2003988,2003988,3988 Huma (1986 LA),Huma,3988,17.95,False,False,0.6832111991,1.5277066841,140,AMO,1.055496435217862,2.033660739060887,1986-06-04,2022-03-03,Near-Earth asteroid orbits similar to that of 1221 Amor,0.42224774249999997,1986-06-04,2022-03-03,13056 days,False
39,39,2004015,2004015,4015 Wilson-Harrington (1979 VA),Wilson-Harrington,4015,16.02,True,False,1.6617090174,3.7156943217,190,APO,0.9667127426471372,4.282824632046727,1949-11-19,2022-04-05,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.0269926521500001,1949-11-19,2022-04-05,26435 days,False
40,40,2004034,2004034,4034 Vishnu (1986 PA),Vishnu,4034,18.41,True,False,0.5527833794,1.2360612132,92,APO,0.5890992080197494,1.529969129276035,1986-08-02,2021-09-11,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.3416389169,1986-08-02,2021-09-11,12824 days,False
41,41,2004055,2004055,4055 Magellan (1985 DO2),Magellan,4055,14.74,False,False,2.9960908385,6.6994627817,736,AMO,1.226785451287107,2.414135247777414,1985-01-21,2022-04-11,Near-Earth asteroid orbits similar to that of 1221 Amor,1.8516859716000003,1985-01-21,2022-04-11,13594 days,False
42,42,2004179,2004179,4179 Toutatis (1989 AC),Toutatis,4179,15.31,True,False,2.3043846658,5.152760759,613,APO,0.9561425876965952,4.13356768333245,1934-02-10,2022-04-10,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.4241880466000003,1934-02-10,2022-04-10,32201 days,False
43,43,2004183,2004183,4183 Cuno (1959 LM),Cuno,4183,14.13,True,False,3.9678475407,8.8723768253,501,APO,0.7235591147920434,3.243624587353582,1959-06-05,2021-11-03,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2.4522646423000003,1959-06-05,2021-11-03,22797 days,False
44,44,2004197,2004197,4197 Morpheus (1982 TA),Morpheus,4197,14.93,False,False,2.7450798165,6.1381850734,158,APO,0.5218197472766027,4.06686907706638,1954-09-03,2021-08-09,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.6965526284499999,1954-09-03,2021-08-09,24447 days,False
45,45,2004257,2004257,4257 Ubasti (1987 QA),Ubasti,4257,16.06,False,False,1.6313794097,3.6478752572,199,APO,0.8761464041267323,2.418361395080077,1987-08-23,2022-04-13,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.00824792375,1987-08-23,2022-04-13,12652 days,False
46,46,2004341,2004341,4341 Poseidon (1987 KF),Poseidon,4341,16.05,False,False,1.6389095149,3.6647130844,164,APO,0.5869918459429616,3.08147534533498,1987-05-29,2022-04-08,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.0129017847500001,1987-05-29,2022-04-08,12733 days,False
47,47,2004401,2004401,4401 Aditi (1985 TB),Aditi,4401,16.02,False,False,1.6617090174,3.7156943217,208,AMO,1.126943994517433,4.037591147598791,1985-10-14,2019-05-31,Near-Earth asteroid orbits similar to that of 1221 Amor,1.0269926521500001,1985-10-14,2019-05-31,12282 days,False
48,48,2004450,2004450,4450 Pan (1987 SY),Pan,4450,17.16,True,False,0.9830033019,2.1980622051,245,APO,0.5965068736361884,2.28807482267847,1937-02-06,2022-01-01,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.6075294515999999,1937-02-06,2022-01-01,31010 days,False
49,49,2004486,2004486,4486 Mithra (1987 SB),Mithra,4486,15.53,True,False,2.0823559905,4.6562895481,232,APO,0.7421617766594483,3.657272992958494,1987-01-29,2022-03-23,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.2869667788,1987-01-29,2022-03-23,12837 days,False
50,50,2004487,2004487,4487 Pocahontas (1987 UA),Pocahontas,4487,17.49,False,False,0.844413128,1.8881651553,171,AMO,1.217126833070293,2.243584570433188,1987-09-24,2022-03-12,Near-Earth asteroid orbits similar to that of 1221 Amor,0.52187601365,1987-09-24,2022-03-12,12588 days,False
51,51,2004503,2004503,4503 Cleobulus (1989 WM),Cleobulus,4503,15.78,False,False,1.85590173,4.1499224279,213,AMO,1.286826927758022,4.122297170044811,1980-12-30,2021-06-04,Near-Earth asteroid orbits similar to that of 1221 Amor,1.1470103489499999,1980-12-30,2021-06-04,14766 days,False
52,52,2004544,2004544,4544 Xanthus (1989 FB),Xanthus,4544,17.4,False,False,0.8801465209,1.9680674509,220,APO,0.7812910886905617,1.302593012656995,1989-03-30,2022-04-14,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.5439604650000001,1989-03-30,2022-04-14,12068 days,False
53,53,2004581,2004581,4581 Asclepius (1989 FC),Asclepius,4581,20.79,True,False,0.1847374636,0.4130855266,110,APO,0.6576889656807864,1.387743796846548,1989-03-31,2021-04-18,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.11417403149999998,1989-03-31,2021-04-18,11706 days,False
55,55,2004660,2004660,4660 Nereus (1982 DB),Nereus,4660,18.67,True,False,0.4904050984,1.0965791366,246,APO,0.9523316285658288,2.018764667905744,1981-09-30,2022-04-12,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.30308701909999997,1981-09-30,2022-04-12,14804 days,False
57,57,2004769,2004769,4769 Castalia (1989 PB),Castalia,4769,17.48,True,False,0.8483107619,1.8968805296,93,APO,0.5495327445078074,1.576808408081641,1989-08-01,2021-07-07,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.52428488385,1989-08-01,2021-07-07,11663 days,False
58,58,2004947,2004947,4947 Ninkasi (1988 TJ1),Ninkasi,4947,18.0,False,False,0.6676594135,1.4929318344,171,AMO,1.139187925467903,1.600864101757643,1978-02-17,2021-01-16,Near-Earth asteroid orbits similar to that of 1221 Amor,0.41263621045,1978-02-17,2021-01-16,15674 days,False
60,60,2004954,2004954,4954 Eric (1990 SQ),Eric,4954,12.58,False,False,8.1013048824,18.1150684236,608,AMO,1.102689849257084,2.900077775758285,1975-06-07,2022-04-16,Near-Earth asteroid orbits similar to that of 1221 Amor,5.006881770600001,1975-06-07,2022-04-16,17115 days,False
61,61,2004957,2004957,4957 Brucemurray (1990 XJ),Brucemurray,4957,14.93,False,False,2.7450798165,6.1381850734,147,AMO,1.222666262647022,1.908244158918035,1976-03-11,2022-03-02,Near-Earth asteroid orbits similar to that of 1221 Amor,1.6965526284499999,1976-03-11,2022-03-02,16792 days,False
62,62,2005011,2005011,5011 Ptah (6743 P-L),Ptah,5011,16.36,True,False,1.4208720673,3.1771665298,153,APO,0.8175462450373092,2.454125039194698,1960-09-24,2021-07-20,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.87814723125,1960-09-24,2021-07-20,22214 days,False
64,64,2005143,2005143,5143 Heracles (1991 VL),Heracles,5143,14.13,False,False,3.9678475407,8.8723768253,602,APO,0.4171398410512937,3.249286155752055,1953-11-30,2021-11-25,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2.4522646423000003,1953-11-30,2021-11-25,24832 days,False
66,66,2005324,2005324,5324 Lyapunov (1987 SL),Lyapunov,5324,15.45,False,False,2.160503512,4.8310327184,59,AMO,1.179768284082008,4.791325203678462,1987-09-19,2022-04-09,Near-Earth asteroid orbits similar to that of 1221 Amor,1.3352646032000002,1987-09-19,2022-04-09,12621 days,False
67,67,2005332,2005332,5332 Davidaguilar (1990 DA),Davidaguilar,5332,14.87,False,False,2.821986791,6.3101542964,353,AMO,1.17913854502611,3.148901776618354,1973-10-18,2022-04-15,Near-Earth asteroid orbits similar to that of 1221 Amor,1.7440837527000002,1973-10-18,2022-04-15,17711 days,False
68,68,2005370,2005370,5370 Taranis (1986 RA),Taranis,5370,15.24,False,False,2.3798795468,5.321572445,65,AMO,1.206050267936962,5.440228500120292,1986-08-11,2022-04-09,Near-Earth asteroid orbits similar to that of 1221 Amor,1.4708464491000002,1986-08-11,2022-04-09,13025 days,False
69,69,2005381,2005381,5381 Sekhmet (1991 JY),Sekhmet,5381,16.6,False,False,1.2721987854,2.844722965,91,ATE,0.666696253232475,1.228231321301045,1991-05-14,2017-03-16,Near-Earth asteroid orbits similar to that of 2062 Aten,0.7862620897999999,1991-05-14,2017-03-16,9438 days,False
